Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered,Total staff cases as at 13 Sep 2022,Total staff cases as at 20 Sep 2022,Total staff cases as at 21 Sep 2022,Total staff cases as at 28 Sep 2022,Total staff cases as at 05 Oct 2022,Total staff cases as at 12 Oct 2022,Total staff cases as at 19 Oct 2022,Total staff cases as at 26 Oct 2022,Total staff cases as at 02 Nov 2022,Total staff cases as at 09 Nov 2022,Total staff cases as at 16 Nov 2022,Total staff cases as at 23 Nov 2022,Total staff cases as at 30 Nov 2022
VIC,421.0,1451.0,728.0,2021-11-08,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-08,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-08,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-08,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-08,,,,,,,,,,,,,,
NSW,279.0,110.0,95.0,2021-11-08,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-08,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-08,,,,,,,,,,,,,,
Australia,700.0,1569.0,832.0,2021-11-08,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-09,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-09,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-09,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-09,,,,,,,,,,,,,,
VIC,422.0,1461.0,730.0,2021-11-09,,,,,,,,,,,,,,
NSW,271.0,118.0,96.0,2021-11-09,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-09,,,,,,,,,,,,,,
Australia,693.0,1587.0,835.0,2021-11-09,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-09,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-10,,,,,,,,,,,,,,
ACT,0.0,8.0,7.0,2021-11-10,,,,,,,,,,,,,,
NSW,270.0,118.0,96.0,2021-11-10,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-10,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-10,,,,,,,,,,,,,,
VIC,440.0,1468.0,731.0,2021-11-10,,,,,,,,,,,,,,
Australia,710.0,1594.0,836.0,2021-11-10,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-10,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-11-10,,,,,,,,,,,,,,
NSW,277.0,118.0,96.0,2021-11-11,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-11-11,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-11-11,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-11-11,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-11-11,,,,,,,,,,,,,,
VIC,452.0,1470.0,733.0,2021-11-11,,,,,,,,,,,,,,
